Style,Net_Revenue,Cumulative_Revenue,Cumulative_Percent
shipping,29361445654.0,29361445654.0,71.68085643784046
j0277,254013084.05,29615458738.05,72.30098514763512
set268,170350908.8,29785809646.85,72.71686722584217
j0242,149028469.75,29934838116.6,73.08069428228839
j0284,137130040.55,30071968157.149998,73.41547339588563
j0285,117139662.64999999,30189107819.8,73.70144948304903
j0012,103208193.43,30292316013.23,73.9534143141968
j0230,98818083.0,30391134096.23,74.19466145524216
shipping charges,97420100.0,30488554196.23,74.43249566424367
set110,88364680.9,30576918877.13,74.64822264446154
j0243,85937680.7,30662856557.83,74.8580245263392
j0239,85052108.0,30747908665.83,75.06566443668717
set252,79247342.5,30827156008.33,75.25913302293333
set043,79029850.9,30906185859.230003,75.45207064131301
set316,78936208.74,30985122067.970005,75.64477964866629
cmb5,77251007.0,31062373074.970005,75.83337452943951
j0225,76373553.0,31138746627.970005,76.01982725907529
set245,75627527.0,31214374154.970005,76.20445869614818
j0237,73644266.5,31288018421.470005,76.38424834808372
j0094,73073004.75,31361091426.220005,76.56264336393855
set098,69040272.3,31430131698.520004,76.73119316579381
set172,66242179.75,31496373878.270004,76.89291191195993
set264,65016144.0,31561390022.270004,77.05163750534948
j0130,63359375.65,31624749397.920006,77.20631838732915
j0129,62099890.879999995,31686849288.800007,77.35792445657486
j0014,60651214.5,31747500503.300007,77.50599383471746
set355,59315750.0,31806816253.300007,77.65080290884673
j0226,58987237.5,31865803490.800007,77.79480997691581
set397,57710880.0,31923514370.800007,77.93570104041895
set275,57598777.5,31981113148.300007,78.07631842519032
set058,57563278.25,32038676426.550007,78.21684914472483
set186,57411697.85,32096088124.400005,78.35700980710958
set266,54672513.0,32150760637.400005,78.4904832266963
set144,53301482.6,32204062120.000004,78.62060951431845
set278,52637357.0,32256699477.000004,78.74911445494185
j0002,51244928.0,32307944405.000004,78.87422002264522
set267,51155404.25,32359099809.250004,78.99910703370303
j0246,50740291.13,32409840100.380005,79.12298061836789
j0006,50443724.0,32460283824.380005,79.24613018603031
j0241,48864522.65,32509148347.030006,79.36542440860553
set244,48745861.2,32557894208.230007,79.48442893991478
set378,48734262.5,32606628470.730007,79.60340515501781
set236,48661243.0,32655289713.730007,79.72220310572753
set038,48006152.6,32703295866.330006,79.83940176730586
tags,47234700.0,32750530566.330006,79.95471706170531
j0224,46662702.5,32797193268.830006,80.06863592381858
j0009,44243718.8,32841436987.630005,80.17664925848035
set358,42972135.0,32884409122.630005,80.28155824273341
set251,42887334.7,32927296457.330006,80.3862602018215
set210,42766187.05,32970062644.380005,80.49066640001928
set197,42561888.5,33012624532.880005,80.59457383888464
set269,42351430.0,33054975962.880005,80.6979674799724
set188,41888704.5,33096864667.380005,80.80023145733288
set380,41840350.0,33138705017.380005,80.90237738560226
set304,41681250.0,33180386267.380005,81.004134898928
j0252,40548199.0,33220934466.380005,81.10312626555152
j0126,40254857.25,33261189323.630005,81.20140148937621
set394,40153925.0,33301343248.630005,81.2994303046893
j0282,39816084.9,33341159333.530006,81.39663434223112
j0283,39286725.4,33380446058.930008,81.4925460407386
set306,38482709.0,33418928767.930008,81.5864948732203
set221,37740825.5,33456669593.430008,81.67863252633148
jne3555,36624635.9,33493294229.33001,81.76804519691225
set300,36322042.0,33529616271.33001,81.85671913718114
jne3548,36289174.5,33565905445.83001,81.94531283717248
j0110,36056252.75,33601961698.58001,82.03333789927316
set262,35900074.25,33637861772.83001,82.12098167876368
set276,35236511.25,33673098284.08001,82.20700548474538
j0101,35155583.75,33708253867.83001,82.29283172032888
j0008,34783020.0,33743036887.83001,82.37774840639656
set217,34776997.85,33777813885.680008,82.46265039043375
j0086,34298630.25,33812112515.930008,82.54638452328051
jne3288,34002914.85,33846115430.780006,82.6293967184753
set193,33993896.5,33880109327.280006,82.71238689693905
